start times,
LINK - ,https://youtu.be/05BEfW52TCU?si=BPnRLOgLfLtN6lwt
START ,0.39
END ,19.07
,
Timestamps,
0:40,
0:57,
1:12,
1:28,
1:41,
1:52,
2:07,
2:17,
2:28,
2:41,
2:51,
3:27,
3:37,
3:47,
3:58,
4:11,
4:48,
5:01,
5:14,
5:46,
5:58,
6:11,
6:24,
6:38,
7:15,
7:28,
7:44,
7:57,
8:08,
8:22,
8:36,
8:48,
9:02,
9:58,
10:10,
10:21,
10:34,
10:46,
10:59,
11:14,
11:38,
11:49,
12:00,
12:14,
12:26,
12:51,
13:02,
13:20,
13:29,
13:57,
14:11,
14:24,
14:38,
14:49,
15:03,
15:15,
15:54,
16:06,
16:20,
16:30,
16:44,
16:56,
17:06,
17:17,
17:26,
18:05,
18:20,
18:31,
18:42,
18:53,