move,num_defenders
PASS_THROW,6
PASS_THROW,6
PASS_THROW,4
PASS_THROW,4
PASS_THROW,0
PASS_THROW,5
STIFF_ARM,5
PASS_THROW,8
STIFF_ARM,8
PASS_THROW,5
PASS_THROW,6
PASS_THROW,6
SPIN,6
PASS_THROW,6
PASS_THROW,5
SPIN,5
PASS_THROW,7
PASS_THROW,5
JUKE,5
PASS_THROW,5
PASS_THROW,6
STIFF_ARM,6
PASS_THROW,8
PASS_THROW,7
PASS_THROW,5
JUKE,7
PASS_THROW,5
PASS_THROW,4
WALL_MOVE,0
PASS_THROW,0
SPIN,6
PASS_THROW,3
WALL_MOVE,3
SPIN,7
PASS_THROW,7
PASS_THROW,7
SPIN,0
STIFF_ARM,5
WALL_MOVE,5
STIFF_ARM,0
PASS_THROW,6
WALL_MOVE,6
PASS_THROW,7
PASS_THROW,0
STIFF_ARM,4
WALL_MOVE,4
SPIN,6
JUKE,7
PASS_THROW,6
PASS_THROW,3
SPIN,0
SPIN,7
PASS_THROW,7
WALL_MOVE,7
SPIN,7
JUKE,7
PASS_THROW,7
SPIN,5
JUKE,5
WALL_MOVE,7
WALL_MOVE,7
PASS_THROW,7
PASS_THROW,6
PASS_THROW,6
PASS_THROW,7
JUKE,7
STIFF_ARM,7
PASS_THROW,6
JUKE,0
PASS_THROW,7
PASS_THROW,7
PASS_THROW,7
PASS_THROW,7
HURDLE,7
JUKE,7
PASS_THROW,7
PASS_THROW,7
WALL_MOVE,0
PASS_THROW,0
SPIN,6
PASS_THROW,3
WALL_MOVE,3
SPIN,7
PASS_THROW,7
PASS_THROW,7
SPIN,0
STIFF_ARM,5
WALL_MOVE,5
STIFF_ARM,0
PASS_THROW,6
WALL_MOVE,6
PASS_THROW,7
PASS_THROW,0
STIFF_ARM,4
WALL_MOVE,4
SPIN,6
JUKE,7
PASS_THROW,6
PASS_THROW,3
SPIN,0
SPIN,7
PASS_THROW,7
WALL_MOVE,7
SPIN,7
JUKE,7
PASS_THROW,7
SPIN,5
JUKE,5
WALL_MOVE,7
WALL_MOVE,7
PASS_THROW,7
PASS_THROW,6
PASS_THROW,6
PASS_THROW,7
JUKE,7
STIFF_ARM,7
PASS_THROW,6
JUKE,0
PASS_THROW,7
PASS_THROW,7
PASS_THROW,7
PASS_THROW,7
HURDLE,7
JUKE,7
PASS_THROW,7
PASS_THROW,7
WALL_MOVE,0
PASS_THROW,0
SPIN,6
PASS_THROW,3
WALL_MOVE,3
SPIN,7
PASS_THROW,7
PASS_THROW,7
SPIN,0
STIFF_ARM,5
WALL_MOVE,5
STIFF_ARM,0
PASS_THROW,6
WALL_MOVE,6
PASS_THROW,7
PASS_THROW,0
STIFF_ARM,4
WALL_MOVE,4
SPIN,6
JUKE,7
PASS_THROW,6
PASS_THROW,3
SPIN,0
SPIN,7
PASS_THROW,7
WALL_MOVE,7
SPIN,7
JUKE,7
PASS_THROW,7
SPIN,5
JUKE,5
WALL_MOVE,7
WALL_MOVE,7
PASS_THROW,7
PASS_THROW,6
PASS_THROW,6
PASS_THROW,7
JUKE,7
STIFF_ARM,7
PASS_THROW,6
JUKE,0
PASS_THROW,7
PASS_THROW,7
PASS_THROW,7
PASS_THROW,7
HURDLE,7
JUKE,7
PASS_THROW,7
PASS_THROW,7
WALL_MOVE,0
PASS_THROW,0
SPIN,6
PASS_THROW,4
WALL_MOVE,1
SPIN,8
PASS_THROW,4
PASS_THROW,7
SPIN,0
STIFF_ARM,5
WALL_MOVE,5
STIFF_ARM,0
PASS_THROW,7
WALL_MOVE,5
PASS_THROW,3
PASS_THROW,0
STIFF_ARM,0
WALL_MOVE,1
SPIN,6
JUKE,8
PASS_THROW,8
PASS_THROW,4
SPIN,0
SPIN,7
PASS_THROW,6
WALL_MOVE,5
SPIN,7
JUKE,6
PASS_THROW,6
SPIN,5
JUKE,4
WALL_MOVE,4
WALL_MOVE,3
PASS_THROW,6
PASS_THROW,10
PASS_THROW,6
PASS_THROW,8
JUKE,4
STIFF_ARM,5
PASS_THROW,4
JUKE,0
PASS_THROW,6
PASS_THROW,7
PASS_THROW,7
PASS_THROW,4
HURDLE,1
JUKE,5
PASS_THROW,5
PASS_THROW,6
WALL_MOVE,0
PASS_THROW,0
SPIN,6
PASS_THROW,3
WALL_MOVE,3
SPIN,7
PASS_THROW,7
PASS_THROW,7
SPIN,0
STIFF_ARM,5
WALL_MOVE,5
STIFF_ARM,0
PASS_THROW,6
WALL_MOVE,6
PASS_THROW,7
PASS_THROW,0
STIFF_ARM,4
WALL_MOVE,4
SPIN,6
JUKE,7
PASS_THROW,6
PASS_THROW,3
SPIN,0
SPIN,7
PASS_THROW,7
WALL_MOVE,7
SPIN,7
JUKE,7
PASS_THROW,7
SPIN,5
JUKE,5
WALL_MOVE,7
WALL_MOVE,7
PASS_THROW,7
PASS_THROW,6
PASS_THROW,6
PASS_THROW,7
JUKE,7
STIFF_ARM,7
PASS_THROW,6
JUKE,0
PASS_THROW,7
PASS_THROW,7
PASS_THROW,7
PASS_THROW,7
HURDLE,7
JUKE,7
PASS_THROW,7
PASS_THROW,7
PASS_THROW,7
PASS_THROW,6
PASS_THROW,4
PASS_THROW,6
PASS_THROW,5
PASS_THROW,6
JUKE,0
SPIN,0
PASS_THROW,8
STIFF_ARM,8
PASS_THROW,5
PASS_THROW,5
PASS_THROW,4
JUKE,4
PASS_THROW,4
PASS_THROW,6
PASS_THROW,5
SPIN,5
PASS_THROW,8
PASS_THROW,7
JUKE,1
PASS_THROW,5
PASS_THROW,6
JUKE,1
STIFF_ARM,1
PASS_THROW,6
PASS_THROW,8
PASS_THROW,7
JUKE,1
PASS_THROW,4
PASS_THROW,5
JUKE,2
PASS_THROW,7
PASS_THROW,6
PASS_THROW,4
PASS_THROW,6
PASS_THROW,5
PASS_THROW,6
JUKE,0
SPIN,0
PASS_THROW,8
STIFF_ARM,8
PASS_THROW,5
PASS_THROW,5
PASS_THROW,4
JUKE,4
PASS_THROW,4
PASS_THROW,6
PASS_THROW,5
SPIN,5
PASS_THROW,8
PASS_THROW,7
JUKE,1
PASS_THROW,5
PASS_THROW,6
JUKE,1
STIFF_ARM,1
PASS_THROW,6
PASS_THROW,8
PASS_THROW,7
JUKE,1
PASS_THROW,4
PASS_THROW,5
JUKE,2
